==308065== NVPROF is profiling process 308065, command: ./euler3d_adapt ../../data/cfd/fvcorr.domn.097K
==308065== Profiling application: ./euler3d_adapt ../../data/cfd/fvcorr.domn.097K
==308065== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","SrcMemType","DstMemType","Device","Context","Stream","Unified Memory","Virtual Address","Name","Correlation_ID"
s,ms,,,,,,,,B,B,MB,GB/s,,,,,,B,,,
1.803016,0.003008,,,,,,,,,,,,,,"TITAN Xp (0)",,,16384.000000,"0x7f54d8500000","[Unified Memory Memcpy HtoD]",
1.803019,0.001120,,,,,,,,,,,,,,"TITAN Xp (0)",,,4096.000000,"0x7f54d8504000","[Unified Memory Memcpy HtoD]",
1.803020,0.002176,,,,,,,,,,,,,,"TITAN Xp (0)",,,12288.000000,"0x7f54d8505000","[Unified Memory Memcpy HtoD]",
1.803022,0.001088,,,,,,,,,,,,,,"TITAN Xp (0)",,,4096.000000,"0x7f54d8508000","[Unified Memory Memcpy HtoD]",
1.803023,0.001024,,,,,,,,,,,,,,"TITAN Xp (0)",,,4096.000000,"0x7f54d8509000","[Unified Memory Memcpy HtoD]",
1.803024,0.003040,,,,,,,,,,,,,,"TITAN Xp (0)",,,24576.000000,"0x7f54d850a000","[Unified Memory Memcpy HtoD]",
1.803027,0.001120,,,,,,,,,,,,,,"TITAN Xp (0)",,,4096.000000,"0x7f54d8510000","[Unified Memory Memcpy HtoD]",
1.803028,0.001152,,,,,,,,,,,,,,"TITAN Xp (0)",,,4096.000000,"0x7f54d8511000","[Unified Memory Memcpy HtoD]",
1.803029,0.001216,,,,,,,,,,,,,,"TITAN Xp (0)",,,4096.000000,"0x7f54d8512000","[Unified Memory Memcpy HtoD]",
1.803031,0.005600,,,,,,,,,,,,,,"TITAN Xp (0)",,,53248.000000,"0x7f54d8513000","[Unified Memory Memcpy HtoD]",
1.803041,0.082624,,,,,,,,,,,,,,"TITAN Xp (0)",,,"1","0x7f54d80d7000","[Unified Memory GPU page faults]",
1.803062,0.004064,,,,,,,,,,,,,,"TITAN Xp (0)",,,28672.000000,"0x7f54d80d0000","[Unified Memory Memcpy HtoD]",
1.803066,0.001120,,,,,,,,,,,,,,"TITAN Xp (0)",,,4096.000000,"0x7f54d80d7000","[Unified Memory Memcpy HtoD]",
1.803068,0.003904,,,,,,,,,,,,,,"TITAN Xp (0)",,,32768.000000,"0x7f54d80d8000","[Unified Memory Memcpy HtoD]",
1.803092,0.004608,,,,,,,,,,,,,,"TITAN Xp (0)",,,32768.000000,"0x7f54d8270000","[Unified Memory Memcpy HtoD]",
1.803096,0.001120,,,,,,,,,,,,,,"TITAN Xp (0)",,,4096.000000,"0x7f54d8278000","[Unified Memory Memcpy HtoD]",
1.803097,0.003424,,,,,,,,,,,,,,"TITAN Xp (0)",,,28672.000000,"0x7f54d8279000","[Unified Memory Memcpy HtoD]",
